Text,entities,entity_types,UniNER
"For example , for the array of values [ 2 , 1 , 3 , 4 , 1 , 2 , 1 , 5 , 4 ] , the contiguous subarray with the largest sum is [ 4 , 1 , 2 , 1 ] , with sum 6 .",['array'],['Data_Structure'],"defaultdict(<class 'list'>, {'Data_Structure': ['[""array"", ""contiguous subarray""]']})"
Denise is programmed to fetch planar video data from one to five bitplanes and translate that into a color lookup .,"['planar', 'color lookup']","['Device', 'Data_Structure']","defaultdict(<class 'list'>, {'Data_Structure': ['[""bitplanes"", ""color lookup""]'], 'Device': ['[]']})"
A big difference between PM quadtrees and edge quadtrees is that the cell under consideration is not subdivided if the segments meet at a vertex in the cell .,"['quadtrees', 'quadtrees']","['Data_Structure', 'Data_Structure']","defaultdict(<class 'list'>, {'Data_Structure': ['[""PM quadtrees"", ""edge quadtrees""]']})"
"Wheel and axle : Hoist , winch , rack and pinion , chain drive , belt drive , rigid chain and rigid belt actuators operate on the principle of the wheel and axle . Cam : Cam actuators function on a principle similar to that of the wedge , but provide relatively limited travel .","['Hoist', 'rigid chain', 'rigid belt actuators', 'Cam', 'Cam actuators']","['Algorithm', 'Algorithm', 'Algorithm', 'Data_Structure', 'Algorithm']","defaultdict(<class 'list'>, {'Algorithm': ['[]'], 'Data_Structure': ['[]']})"
"MUMPS ( "" Massachusetts General Hospital Utility Multi-Programming System "" ) , or M , is an imperative , high-level programming language with an integrated transaction processing key – value database .","['MUMPS', 'Multi-Programming', 'M', 'imperative', 'key – value database']","['Language', 'Operating_System', 'Language', 'Application', 'Data_Structure']","defaultdict(<class 'list'>, {'Operating_System': ['[]'], 'Language': ['[""MUMPS""]'], 'Application': ['[]'], 'Data_Structure': ['[""database""]']})"
"The Amiga natively supports indexed color , where a pixel 's color value does not carry any RGB hue information but instead is an index to a colour palette ( a collection of unique color values ) .","['Amiga', 'indexed color', 'colour palette']","['Device', 'Data_Structure', 'Data_Structure']","defaultdict(<class 'list'>, {'Data_Structure': ['[""colour palette""]'], 'Device': ['[""Amiga""]']})"
A tree-walking automaton ( TWA ) is a type of finite automaton that deals with tree structures rather than strings .,"['tree-walking automaton', 'finite automaton', 'tree structures']","['Application', 'Architecture', 'Data_Structure']","defaultdict(<class 'list'>, {'Application': ['[]'], 'Data_Structure': ['[""tree structures"", ""strings""]'], 'Architecture': ['[]']})"
"Like mentioned above , elementary expansion modules are Basic 6 , a BASIC language interpreter and Video 32 , a video generator , producing 32 columns and 32 rows of text and semigraphic characters .",['semigraphic'],['Data_Structure'],"defaultdict(<class 'list'>, {'Data_Structure': ['[]']})"
Each thread then repeatedly selects two random positions in two random vectors and swaps them .,['vectors'],['Data_Structure'],"defaultdict(<class 'list'>, {'Data_Structure': ['[""thread""]']})"
Deleting k from a balanced binary search tree that contains O(logM ) elements also takes O(loglogM ) time .,['balanced binary search tree'],['Data_Structure'],"defaultdict(<class 'list'>, {'Data_Structure': ['[""balanced binary search tree""]']})"
